city,station_name,address,fuel_code,price,date
Димитровград,Татнефть,"ул. Куйбышева, 334, Димитровград, Ульяновская обл., Россия, 433511",DIESEL,70.15,2025-12-07 22:31:15.080881
Ульяновск,Татнефть,"пр. Созидателей, 7, Ульяновск, Ульяновская обл., Россия, 432063",GAS,28.0,2025-12-07 22:31:15.080881
Ульяновск,Татнефть,"пр. Созидателей, 7, Ульяновск, Ульяновская обл., Россия, 432063",AI92,59.1,2025-12-07 22:31:15.080881
Ульяновск,Татнефть,"пр. Созидателей, 7, Ульяновск, Ульяновская обл., Россия, 432063",AI92PLUS,60.1,2025-12-07 22:31:15.080881
Ульяновск,Татнефть,"пр. Созидателей, 7, Ульяновск, Ульяновская обл., Россия, 432063",AI95,63.85,2025-12-07 22:31:15.080881
Ульяновск,Татнефть,"пр. Созидателей, 7, Ульяновск, Ульяновская обл., Россия, 432063",DIESEL,73.0,2025-12-07 22:31:15.080881
Тереньгульский район,Татнефть,"P942+XQ Тереньга, Ульяновская область, Россия",AI92,59.1,2025-12-07 22:31:15.080881
Тереньгульский район,Татнефть,"P942+XQ Тереньга, Ульяновская область, Россия",AI95,63.85,2025-12-07 22:31:15.080881
Тереньгульский район,Татнефть,"P942+XQ Тереньга, Ульяновская область, Россия",DIESEL,73.0,2025-12-07 22:31:15.080881
Николаевский район,Роснефть РН-Карт,"Ульяновская область, Николаевский район, поселок Вязовой",AI92,59.14,2025-12-07 22:31:15.080881
Николаевский район,Роснефть РН-Карт,"Ульяновская область, Николаевский район, поселок Вязовой",AI95,66.39,2025-12-07 22:31:15.080881
Николаевский район,Роснефть РН-Карт,"Ульяновская область, Николаевский район, поселок Вязовой",DIESEL,70.58,2025-12-07 22:31:15.080881
Майнский район,Роснефть РН-Карт,"Ульяновская обл., Майнский р-н, Р178, 195 км, слева, перед поворотом на село Юшанское",AI92,59.14,2025-12-07 22:31:15.080881
Майнский район,Роснефть РН-Карт,"Ульяновская обл., Майнский р-н, Р178, 195 км, слева, перед поворотом на село Юшанское",AI95,66.39,2025-12-07 22:31:15.080881
Майнский район,Роснефть РН-Карт,"Ульяновская обл., Майнский р-н, Р178, 195 км, слева, перед поворотом на село Юшанское",DIESEL,71.03,2025-12-07 22:31:15.080881
Радищевский район,УЦГ №007,"162 км Новоспасское-Старая Кулатка, Ульяновская обл., Радищевский р-н, п.Радищево, АЗС №7",AI92,59.09,2025-12-07 22:31:15.080881
Радищевский район,УЦГ №007,"162 км Новоспасское-Старая Кулатка, Ульяновская обл., Радищевский р-н, п.Радищево, АЗС №7",AI95,63.99,2025-12-07 22:31:15.080881
Радищевский район,УЦГ №007,"162 км Новоспасское-Старая Кулатка, Ульяновская обл., Радищевский р-н, п.Радищево, АЗС №7",DIESEL,71.99,2025-12-07 22:31:15.080881
Радищевский район,УЦГ №007,"162 км Новоспасское-Старая Кулатка, Ульяновская обл., Радищевский р-н, п.Радищево, АЗС №7",GAS,21.5,2025-12-07 22:31:15.080881
Ульяновск,Роснефть РН-Карт,"6-й Инженерный пр-д, 25а, Ульяновск, Ульяновская обл., Россия, 432072",AI92,59.14,2025-12-07 22:31:15.080881
Ульяновск,Роснефть РН-Карт,"6-й Инженерный пр-д, 25а, Ульяновск, Ульяновская обл., Россия, 432072",AI95,66.39,2025-12-07 22:31:15.080881
Ульяновск,Роснефть РН-Карт,"6-й Инженерный пр-д, 25а, Ульяновск, Ульяновская обл., Россия, 432072",DIESEL,71.03,2025-12-07 22:31:15.080881
Ульяновск,Роснефть РН-Карт,"6-й Инженерный пр-д, 25а, Ульяновск, Ульяновская обл., Россия, 432072",GAS,28.09,2025-12-07 22:31:15.080881
Димитровград,Роснефть РН-Карт,"ул. Льва Толстого, 96, Димитровград, Ульяновская обл., Россия, 433502",AI92,59.14,2025-12-07 22:31:15.080881
Димитровград,Роснефть РН-Карт,"ул. Льва Толстого, 96, Димитровград, Ульяновская обл., Россия, 433502",AI95,66.39,2025-12-07 22:31:15.080881
Димитровград,Роснефть РН-Карт,"ул. Льва Толстого, 96, Димитровград, Ульяновская обл., Россия, 433502",DIESEL,71.03,2025-12-07 22:31:15.080881
Новомалыклинский район,Роснефть РН-Карт,"Ульяновская обл., Новомалыклинский р-н, с. Высокий Колок, Р178, 127 км, справа",AI92,59.14,2025-12-07 22:31:15.080881
Новомалыклинский район,Роснефть РН-Карт,"Ульяновская обл., Новомалыклинский р-н, с. Высокий Колок, Р178, 127 км, справа",AI95,66.39,2025-12-07 22:31:15.080881
Новомалыклинский район,Роснефть РН-Карт,"Ульяновская обл., Новомалыклинский р-н, с. Высокий Колок, Р178, 127 км, справа",DIESEL,70.58,2025-12-07 22:31:15.080881
Новомалыклинский район,Роснефть РН-Карт,"Ульяновская обл., Новомалыклинский р-н, с. Высокий Колок, Р178, 127 км, справа",GAS,28.09,2025-12-07 22:31:15.080881
Ульяновск,Роснефть РН-Карт,"Азовская ул., 76, Ульяновск, Ульяновская обл., Россия, 432061",AI92,59.14,2025-12-07 22:31:15.080881
Ульяновск,Роснефть РН-Карт,"Азовская ул., 76, Ульяновск, Ульяновская обл., Россия, 432061",AI95,66.39,2025-12-07 22:31:15.080881
Ульяновск,Роснефть РН-Карт,"Азовская ул., 76, Ульяновск, Ульяновская обл., Россия, 432061",DIESEL,71.03,2025-12-07 22:31:15.080881
Ульяновск,Роснефть РН-Карт,"ул. Автомобилистов, 1, Ульяновск, Ульяновская обл., Россия, 432035",AI92,59.14,2025-12-07 22:31:15.080881
Ульяновск,Роснефть РН-Карт,"ул. Автомобилистов, 1, Ульяновск, Ульяновская обл., Россия, 432035",AI95,66.39,2025-12-07 22:31:15.080881
Ульяновск,Роснефть РН-Карт,"ул. Автомобилистов, 1, Ульяновск, Ульяновская обл., Россия, 432035",DIESEL,71.03,2025-12-07 22:31:15.080881
Мелекесский район,Роснефть РН-Карт,"Р178, Мулловка, Ульяновская обл., Россия, 433550",AI92,59.14,2025-12-07 22:31:15.080881
